product_id,product_link,kegunaan,nama,,rating,harga,berat,tempat,image_src
1653403927-69,https://www.tokopedia.com/arsyla-store27/filia-525se-250ml-fungisida-obat-hawar-daun-dan-blast?extParam=ivf%3Dfalse%26src%3Dsearch,Leaf Blast,filia 525se 250ml fungisida obat hawar daun dan blast,32,4.7,103000,300 Gram,Kab. Probolinggo,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/7/22/4dfdda8b-2c36-45a1-804b-57e0455c6783.jpg
1653404248-71,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosndH_eaoAyDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthos1pHpjpoA1pbm-srcHi6s1FHmFiqfuNPfYagVY2gmUEo_U7HAKaoprhbm-xgVYpyfYagZUEHsKdbsrNHsHpop17oAKf6_K7bm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke9uozVVE_S2uP7OJe9PozJVR_1zCP7OJe_C-q9P2yM7NPujau3Bvq1BN3jz3qJOJzM268_CE3M26qjh119P6HBV7_OzCoJN_HIBguO1p392Gq1OkgcB6u7O2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12agJyNPfVUZMxsHBu2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BRZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_3208Jhkypo6zJj7_jz-81Y11_ove7tNUiFiP9oBrBY2gmUEUsnibm-pg9opq3YX9fBjUsti_OYd33W339zJQ7z7z1OJrRgwzcWc1Red1M2y1cYCQJy7rOPIHOz7gs-s83Nazfz1b3W9qS1RuAu28IBbeMVtZ3uz1Z7Nr7YX_9okq7Yz61zA69V281zxoRC9g7NU9Oefzco33ju_ZuYNgfKpr3VmQ_xt3u-byBUfguxqZuVk_cdibm-xQcri6i-0PVYFqI-xrf1ibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2Q6_K7bAJfo_eDH_yOoO7DUMNwyfVXgcBjy9zB9fVjraUEHpjDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUhos1RUiFiHpyi9ZFirMuDg9gxQMoB9RosQR-BUstFbsepHsJOosyFH_eR6AHpopUDUSCaq3oB9f-2gmUEo_nFbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6seRoidp6Anf6_ehHsyaopyRbm-hP3ua8uYag3hay3N09RosQR-BUstFbsy76_1fH_eFo_JdH_KdoAxY?page=1&dv=desktop&src=search&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fmilkykushop%2Fdithane-m-45-80-wp-200-gram-kemasan-pabrik-fungisida-obat-jamur%3Fsrc%3Dtopads&ob=23&management_type=1&keywords=filia+525se&is_search=1,Leaf Blast,DITHANE M-45 80 WP 200 GRAM KEMASAN PABRIK FUNGISIDA OBAT JAMUR,154,5,35000,300 Gram,Jakarta Barat,https://images.tokopedia.net/img/cache/100-square/hDjmkQ/2021/10/17/0319a4df-59c9-4018-9b03-c5b6e3a556a7.jpg
1653400654-63,https://www.tokopedia.com/mitratanibwi/fungisida-filia-525se-250ml?extParam=ivf%3Dfalse%26src%3Dsearch,Leaf Blast,Fungisida FILIA 525SE 250ML,9,5,130000,350 Gram,Kab. Banyuwangi,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2020/10/10/84741594-da8d-4f7e-a9c9-ea0a39f56e1a.jpg
1653400015-62,https://www.tokopedia.com/priagungjaya/fungisida-filia-525se-250ml?extParam=ivf%3Dfalse%26src%3Dsearch,Leaf Blast,fungisida FILIA 525SE 250ML,,,127000,400 Gram,Kab. Bekasi,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/5/27/a8f94937-4dde-4ea0-b4e3-befc21aa1f47.jpg
1653397693-58,https://www.tokopedia.com/tokosuksestani/fungisida-sistemik-filia-525se-penyakit-blast-padi-dari-syngenta-50ml?extParam=ivf%3Dfalse%26src%3Dsearch,Leaf Blast,Fungisida sistemik FILIA 525SE penyakit blast padi dari syngenta 50ml,1,5,34000,150 Gram,Kab. Kediri,https://images.tokopedia.net/img/cache/100-square/product-1/2020/4/10/7940231/7940231_a57c77f0-f745-48a7-9ae1-6a62c5ce67c0_1008_1008.jpg
1653396877-50,https://www.tokopedia.com/checkin-1/filia-525se-250ml-obat-hawar-daun-dan-blast-original?extParam=ivf%3Dfalse%26src%3Dsearch,Leaf Blast,Filia 525Se 250Ml Obat Hawar Daun Dan Blast Original,,,157000,750 Gram,Jakarta Barat,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/4/14/e21d5638-5923-496d-8037-49ce9071273c.jpg
1653394899-40,https://www.tokopedia.com/kaslan/filia-525se-250ml-obat-hawar-daun-dan-blast-terlaris?extParam=ivf%3Dfalse%26src%3Dsearch,Leaf Blast,Filia 525Se 250Ml Obat Hawar Daun Dan Blast Terlaris,,,154000,750 Gram,Jakarta Pusat,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/28/8bed6007-f84f-4bcd-9e7c-c759b34e03cc.jpg
1653394358-8,https://www.tokopedia.com/lapakbrisa/filia-525se-syngenta-250-ml-l-b?extParam=ivf%3Dfalse%26src%3Dsearch,Leaf Blast,Filia 525Se Syngenta 250 Ml |L.B,,,151000,450 Gram,Jakarta Barat,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/31/e422e2e0-5d78-4d7e-9f42-7e9c5db59ba2.jpg
1653396977-56,https://www.tokopedia.com/exisstore-1/filia-525se-250ml-fungisida-obat-pembasmi-jamur-pada-tanaman?extParam=ivf%3Dfalse%26src%3Dsearch,Leaf Blast,Filia 525SE 250ml Fungisida Obat Pembasmi Jamur pada Tanaman,,,166000,750 Gram,Kab. Bekasi,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/4/18/595a7925-c439-4ca2-94f9-664158b331f5.jpg
1653402513-66,https://www.tokopedia.com/goldstar22/fungisida-filia-525se-sygenta-50ml?extParam=ivf%3Dfalse%26src%3Dsearch,Leaf Blast,Fungisida Filia 525SE Sygenta - 50ml,2,5,29500,100 Gram,Kab. Bekasi,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/6/15/e19488c3-7a0b-481d-80d3-0e5a012e37c1.jpg
1653396894-51,https://www.tokopedia.com/pasartani45/filia-525se-syngenta-250-ml?extParam=ivf%3Dfalse%26src%3Dsearch,Leaf Blast,Filia 525se syngenta 250 ml,5,4.2,103000,250 Gram,Kab. Probolinggo,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/3/25/10ef0869-96e4-4e91-9623-9254f4bb4f55.jpg
1653396626-49,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_HfHAJdHsJabm-xgVY789CBUsthbm-FQRo2PcB5QiUEH_UDUSz2Q31i6sJfo_Hp6_H7o_HDUMoFyaUEosnFbm-xgVYpyfYagZUEH_eaHmdfHpKRbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-HJOAZ9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1BN3jz3qJOJzM268_CE3M26qjh119P6HBV7_OzCoJN_HIBguO1p392Gq1OkgcB6u7O2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12p_3OdPMep8AxizJNM_uzgH1dp8AxizJgpysoj6cgI_MB-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoqBjp_c2-8JOE19PvzJ7h_OzV81OkgfBHe72E3_UN8u23692qu7gN3_-Sq1Y2Z926qjVO_3208jYJu_V68jBR_S2uH1Y1yfBM1_7YUiFiP9oBrBY2gmUEUsnibm-pg9opq3YX9fBjUsti_OYd33W339zJQ7z7z1OJrRgwzcWc1Red1M2y1cYCQJy7rOPIHOz7gs-s83Nazfz1b3W9qS1RuAu28IBbeMVtZ3uz1Z7Nr7YX_9okq7Yz61zA69V281zxoRC9g7NU9Oefzco33ju_ZuYNgfKpr3VmQ_xt3u-byBUfguxqZuVk_cdibm-xQcri6i-0g9BRQR-j9Rz59RCaQfzOyRzwgcuMy9uDPmUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDN6AeDH_yOomFhos1R9ZFiQBYsy3Njq3zxPcuwy3zpUstp6ZFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sHfopyObm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUhos1RUiFiHpyi9ZFirI-2yfuwyMBjUstfHAnDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEHsefoidaosy7osypoAKh6_1DUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXopHfHAUfo_UOoAjRoAHfo97?t=desktop&dv=desktop&ob=23&src=search&is_search=1&keywords=filia+525se&r=https%3A%2F%2Fwww.tokopedia.com%2Fparditani%2Fmoluksida-bentan-60wp-100gram%3Fsrc%3Dtopads&page=1&management_type=2,Leaf Blast,Moluksida Bentan 60WP 100gram,,,51000,130 Gram,Kab. Cilacap,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/11/21/78456a8a-540a-497d-bdaa-2fcf870546fa.jpg
1653394916-41,https://www.tokopedia.com/joesjoss/250ml-525se-daun-filia-obat-dan-hawar-blast?extParam=ivf%3Dfalse%26src%3Dsearch,Leaf Blast,250ml 525SE Daun Filia Obat dan Hawar Blast,,,196000,500 Gram,Jakarta Barat,https://images.tokopedia.net/img/cache/100-square/hDjmkQ/2021/6/27/a00a1ad4-abcd-4584-882a-d696d3b456f0.jpg
1653394697-28,https://www.tokopedia.com/kokohstore-2/filia-525se-250ml-fungisida-blas-padi-ori?extParam=ivf%3Dfalse%26src%3Dsearch,Leaf Blast,FILIA 525SE 250ML Fungisida Blas Padi ORI,,,205000,200 Gram,Kota Tangerang,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/5/19/2d6bd4bb-5fbc-4c47-8d44-a4adeb0b2301.jpg
1653394933-42,https://www.tokopedia.com/amengstored/filia-525se-250ml-obat-hawar-daun-dan-blast-ori?extParam=ivf%3Dfalse%26src%3Dsearch,Leaf Blast,Filia 525SE 250ml Obat Hawar Daun dan Blast ORI,,,159000,200 Gram,Jakarta Selatan,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/4/6/9a87c1a4-1717-40d5-9de9-838d86a10679.jpg
1653397882-59,https://www.tokopedia.com/saraagro/filia-525se-250ml-obat-hawar-daun-dan-blast?extParam=ivf%3Dfalse%26src%3Dsearch,Leaf Blast,Filia 525SE 250ml Obat Hawar Daun dan Blast,60,4.8,102000,250 Gram,Kota Kediri,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/10/6/cb6e9da4-c048-48be-b677-14e731fe69de.jpg
1653394545-19,https://www.tokopedia.com/intanstored/filia-525se-fungisida-sistemik-250ml-ori?extParam=ivf%3Dfalse%26src%3Dsearch,Leaf Blast,FILIA 525SE Fungisida Sistemik 250ml ORI,,,175000,200 Gram,Kota Depok,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/5/19/627a8ab7-8645-4c6c-9799-72abbc5f191d.jpg
